maze_id,source_path,task_id,family,family_group,is_b,width,height,grid_area,topology,variant,comparison_cell,chain_pattern,source_category,distractor_type,is_beatable,optimal_steps,states_explored,path_signature,path_depth,path_key_stages,path_switch_stages,path_event_ids,option_count,distractor_count,five_option,inactive_switches,unmatched_keys,object_count,n_keys,n_doors,n_switches,n_gates,known_length_risk,duplicate_task_id
S1/8x8_empty_room_1,ogbench/ogbench/procgen/maze_jsons/S1/8x8_empty_room_1.json,8x8_empty_room_1,S1,S,False,8,8,64,empty,1,8x8:empty:1,none,,,True,9,115,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
S1/8x8_empty_room_0,ogbench/ogbench/procgen/maze_jsons/S1/8x8_empty_room_0.json,8x8_empty_room_0,S1,S,False,8,8,64,empty,0,8x8:empty:0,none,,,True,11,139,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
D3/10x10_dense_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_deadend_ky_dy_1.json,10x10_dense_deadend_ky_dy_1,D3,D,False,10,10,100,dense,1,10x10:dense:1,none_deadend_yellow_key_door,S4,deadend_yellow_key_door,True,23,85,none,0,0,0,,1,1,False,0,0,2,1,1,0,0,True,False
S4/10x10_dense_1,ogbench/ogbench/procgen/maze_jsons/S4/10x10_dense_1.json,10x10_dense_1,S4,S,False,10,10,100,dense,1,10x10:dense:1,none,,,True,23,85,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
S2/8x8_corridor_0,ogbench/ogbench/procgen/maze_jsons/S2/8x8_corridor_0.json,8x8_corridor_0,S2,S,False,8,8,64,corridor,0,8x8:corridor:0,none,,,True,25,81,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
B1/8x8_corridor_swg_0,ogbench/ogbench/procgen/maze_jsons/B1/8x8_corridor_swg_0.json,8x8_corridor_swg_0,B1,B,True,8,8,64,corridor,0,8x8:corridor:0,single_white_switch_gate,,,True,26,121,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
D1/8x8_corridor_wrong_ky_sg_0,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_sg_0.json,8x8_corridor_wrong_ky_sg_0,D1,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_key_door,,,True,26,240,S,1,0,1,g1,2,1,False,0,1,3,1,0,1,1,False,False
D2/8x8_corridor_wrong_ky_inactive_sb_sg_0,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_inactive_sb_sg_0.json,8x8_corridor_wrong_ky_inactive_sb_sg_0,D2,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_key_door_inactive_blue_switch,,inactive_blue_switch,True,26,475,S,1,0,1,g1,3,2,False,1,1,4,1,0,2,1,False,False
M2/8x8_corridor_sg_0,ogbench/ogbench/procgen/maze_jsons/M2/8x8_corridor_sg_0.json,8x8_corridor_sg_0,M2,M,False,8,8,64,corridor,0,8x8:corridor:0,key_door,,,True,26,121,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
S2/8x8_corridor_1,ogbench/ogbench/procgen/maze_jsons/S2/8x8_corridor_1.json,8x8_corridor_1,S2,S,False,8,8,64,corridor,1,8x8:corridor:1,none,,,True,26,81,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
B1/8x8_corridor_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/8x8_corridor_swg_1.json,8x8_corridor_swg_1,B1,B,True,8,8,64,corridor,1,8x8:corridor:1,single_white_switch_gate,,,True,27,105,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
D1/8x8_corridor_wrong_ky_kr_0,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_0.json,8x8_corridor_wrong_ky_kr_0,D1,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_key_door,,,True,27,213,K,1,1,0,DR,2,1,False,0,1,3,2,1,0,0,False,False
D1/8x8_corridor_wrong_ky_sg_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_sg_1.json,8x8_corridor_wrong_ky_sg_1,D1,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_switch_gate,,,True,27,208,S,1,0,1,g1,2,1,False,0,1,3,1,0,1,1,False,False
D2/8x8_corridor_wrong_ky_inactive_sb_sg_1,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_inactive_sb_sg_1.json,8x8_corridor_wrong_ky_inactive_sb_sg_1,D2,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_key_door_inactive_blue_switch,,inactive_blue_switch,True,27,411,S,1,0,1,g1,3,2,False,1,1,4,1,0,2,1,False,False
M1/8x8_corridor_kr_0,ogbench/ogbench/procgen/maze_jsons/M1/8x8_corridor_kr_0.json,8x8_corridor_kr_0,M1,M,False,8,8,64,corridor,0,8x8:corridor:0,key_door,,,True,27,160,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
M2/8x8_corridor_sg_1,ogbench/ogbench/procgen/maze_jsons/M2/8x8_corridor_sg_1.json,8x8_corridor_sg_1,M2,M,False,8,8,64,corridor,1,8x8:corridor:1,key_door,,,True,27,105,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
D1/8x8_corridor_wrong_ky_kr_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_1.json,8x8_corridor_wrong_ky_kr_1,D1,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_key_door,,,True,28,193,K,1,1,0,DR,2,1,False,0,1,3,2,1,0,0,False,False
D1/8x8_corridor_wrong_ky_kr_sg_0,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_sg_0.json,8x8_corridor_wrong_ky_kr_sg_0,D1,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_key_door_then_switch_gate,,,True,28,244,K->S,2,1,1,DR;g1,3,1,False,0,1,5,2,1,1,1,False,False
D1/8x8_corridor_wrong_ky_sg_kr_0,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_sg_kr_0.json,8x8_corridor_wrong_ky_sg_kr_0,D1,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_switch_gate_then_key_door,,,True,28,282,S->K,2,1,1,g1;DR,3,1,False,0,1,5,2,1,1,1,False,False
D2/8x8_corridor_wrong_ky_inactive_sb_sg_kr_0,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_inactive_sb_sg_kr_0.json,8x8_corridor_wrong_ky_inactive_sb_sg_kr_0,D2,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_switch_gate_then_key_door_inactive_blue_switch,,inactive_blue_switch,True,28,557,S->K,2,1,1,g1;DR,4,2,False,1,1,6,2,1,2,1,False,False
