rank,maze_id,source_path,task_id,family,length_cluster,family_group,is_b,width,height,grid_area,topology,variant,comparison_cell,chain_pattern,source_category,distractor_type,is_beatable,optimal_steps,states_explored,path_signature,path_depth,path_key_stages,path_switch_stages,path_event_ids,option_count,distractor_count,five_option,inactive_switches,unmatched_keys,object_count,n_keys,n_doors,n_switches,n_gates,known_length_risk,duplicate_task_id
1,D3/10x10_dense_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_deadend_ky_dy_1.json,10x10_dense_deadend_ky_dy_1,D3,20-25,D,False,10,10,100,dense,1,10x10:dense:1,none_deadend_yellow_key_door,S4,deadend_yellow_key_door,True,23,85,none,0,0,0,,1,1,False,0,0,2,1,1,0,0,True,False
2,S4/10x10_dense_1,ogbench/ogbench/procgen/maze_jsons/S4/10x10_dense_1.json,10x10_dense_1,S4,20-25,S,False,10,10,100,dense,1,10x10:dense:1,none,,,True,23,85,none,0,0,0,,0,0,False,0,0,0,0,0,0,0,False,False
3,B1/8x8_corridor_swg_0,ogbench/ogbench/procgen/maze_jsons/B1/8x8_corridor_swg_0.json,8x8_corridor_swg_0,B1,26-39,B,True,8,8,64,corridor,0,8x8:corridor:0,single_white_switch_gate,,,True,26,121,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
4,M2/8x8_corridor_sg_0,ogbench/ogbench/procgen/maze_jsons/M2/8x8_corridor_sg_0.json,8x8_corridor_sg_0,M2,26-39,M,False,8,8,64,corridor,0,8x8:corridor:0,key_door,,,True,26,121,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
5,B1/8x8_corridor_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/8x8_corridor_swg_1.json,8x8_corridor_swg_1,B1,26-39,B,True,8,8,64,corridor,1,8x8:corridor:1,single_white_switch_gate,,,True,27,105,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
6,M1/8x8_corridor_kr_0,ogbench/ogbench/procgen/maze_jsons/M1/8x8_corridor_kr_0.json,8x8_corridor_kr_0,M1,26-39,M,False,8,8,64,corridor,0,8x8:corridor:0,key_door,,,True,27,160,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
7,M2/8x8_corridor_sg_1,ogbench/ogbench/procgen/maze_jsons/M2/8x8_corridor_sg_1.json,8x8_corridor_sg_1,M2,26-39,M,False,8,8,64,corridor,1,8x8:corridor:1,key_door,,,True,27,105,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
8,M1/8x8_corridor_kr_1,ogbench/ogbench/procgen/maze_jsons/M1/8x8_corridor_kr_1.json,8x8_corridor_kr_1,M1,26-39,M,False,8,8,64,corridor,1,8x8:corridor:1,key_door,,,True,28,129,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
9,D2/8x8_corridor_wrong_ky_inactive_sb_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/D2/8x8_corridor_wrong_ky_inactive_sb_sg_kr_1.json,8x8_corridor_wrong_ky_inactive_sb_sg_kr_1,D2,26-39,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_switch_gate_then_key_door_inactive_blue_switch,,inactive_blue_switch,True,29,533,S->K,2,1,1,g1;DR,4,2,False,1,1,6,2,1,2,1,False,False
10,M3/8x8_corridor_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/M3/8x8_corridor_kr_sg_1.json,8x8_corridor_kr_sg_1,M3,26-39,M,False,8,8,64,corridor,1,8x8:corridor:1,key_door_then_switch_gate,,,True,29,180,K->S,2,1,1,DR;g1,2,0,False,0,0,4,1,1,1,1,False,False
11,M4/8x8_corridor_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/M4/8x8_corridor_sg_kr_1.json,8x8_corridor_sg_kr_1,M4,26-39,M,False,8,8,64,corridor,1,8x8:corridor:1,switch_gate_then_key_door,,,True,29,200,S->K,2,1,1,g1;DR,2,0,False,0,0,4,1,1,1,1,False,False
12,M5/8x8_corridor_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/M5/8x8_corridor_kr_kb_1.json,8x8_corridor_kr_kb_1,M5,26-39,M,False,8,8,64,corridor,1,8x8:corridor:1,kk,,,True,30,212,K->K,2,2,0,DR;DB,2,0,False,0,0,4,2,2,0,0,False,False
13,M6/8x8_corridor_kr_sg_kb_0,ogbench/ogbench/procgen/maze_jsons/M6/8x8_corridor_kr_sg_kb_0.json,8x8_corridor_kr_sg_kb_0,M6,26-39,M,False,8,8,64,corridor,0,8x8:corridor:0,kr_sg_kb,,,True,30,213,K->S->K,3,2,1,DR;g1;DB,3,0,False,0,0,6,2,2,1,1,False,False
14,B1/10x10_dense_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/10x10_dense_swg_1.json,10x10_dense_swg_1,B1,26-39,B,True,10,10,100,dense,1,10x10:dense:1,single_white_switch_gate,,,True,36,159,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
15,M3/10x10_dense_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/M3/10x10_dense_kr_sg_1.json,10x10_dense_kr_sg_1,M3,40-59,M,False,10,10,100,dense,1,10x10:dense:1,key_door_then_switch_gate,,,True,42,255,K->S,2,1,1,DR;g1,2,0,False,0,0,4,1,1,1,1,False,False
16,M4/10x10_dense_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/M4/10x10_dense_sg_kr_1.json,10x10_dense_sg_kr_1,M4,40-59,M,False,10,10,100,dense,1,10x10:dense:1,switch_gate_then_key_door,,,True,42,274,S->K,2,1,1,g1;DR,2,0,False,0,0,4,1,1,1,1,False,False
17,B1/10x10_corridor_swg_0,ogbench/ogbench/procgen/maze_jsons/B1/10x10_corridor_swg_0.json,10x10_corridor_swg_0,B1,40-59,B,True,10,10,100,corridor,0,10x10:corridor:0,single_white_switch_gate,,,True,43,185,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
18,M2/10x10_dense_sg_0,ogbench/ogbench/procgen/maze_jsons/M2/10x10_dense_sg_0.json,10x10_dense_sg_0,M2,40-59,M,False,10,10,100,dense,0,10x10:dense:0,single_switch_gate,,,True,43,176,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
19,M5/10x10_dense_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/M5/10x10_dense_kr_kb_1.json,10x10_dense_kr_kb_1,M5,40-59,M,False,10,10,100,dense,1,10x10:dense:1,kk,,,True,43,305,K->K,2,2,0,DR;DB,2,0,False,0,0,4,2,2,0,0,False,False
