rank,maze_id,source_path,task_id,family,length_cluster,family_group,is_b,width,height,grid_area,topology,variant,comparison_cell,chain_pattern,source_category,distractor_type,is_beatable,optimal_steps,states_explored,path_signature,path_depth,path_key_stages,path_switch_stages,path_event_ids,option_count,distractor_count,five_option,inactive_switches,unmatched_keys,object_count,n_keys,n_doors,n_switches,n_gates,known_length_risk,duplicate_task_id
1,D3/10x10_dense_deadend_ky_dy_1,ogbench/ogbench/procgen/maze_jsons/D3/10x10_dense_deadend_ky_dy_1.json,10x10_dense_deadend_ky_dy_1,D3,20-25,D,False,10,10,100,dense,1,10x10:dense:1,none_deadend_yellow_key_door,S4,deadend_yellow_key_door,True,23,85,none,0,0,0,,1,1,False,0,0,2,1,1,0,0,True,False
2,B1/8x8_corridor_swg_0,ogbench/ogbench/procgen/maze_jsons/B1/8x8_corridor_swg_0.json,8x8_corridor_swg_0,B1,26-39,B,True,8,8,64,corridor,0,8x8:corridor:0,single_white_switch_gate,,,True,26,121,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
3,B1/8x8_corridor_swg_1,ogbench/ogbench/procgen/maze_jsons/B1/8x8_corridor_swg_1.json,8x8_corridor_swg_1,B1,26-39,B,True,8,8,64,corridor,1,8x8:corridor:1,single_white_switch_gate,,,True,27,105,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
4,M2/8x8_corridor_sg_1,ogbench/ogbench/procgen/maze_jsons/M2/8x8_corridor_sg_1.json,8x8_corridor_sg_1,M2,26-39,M,False,8,8,64,corridor,1,8x8:corridor:1,key_door,,,True,27,105,S,1,0,1,g1,1,0,False,0,0,2,0,0,1,1,False,False
5,D1/8x8_corridor_wrong_ky_kr_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_1.json,8x8_corridor_wrong_ky_kr_1,D1,26-39,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_key_door,,,True,28,193,K,1,1,0,DR,2,1,False,0,1,3,2,1,0,0,False,False
6,M1/8x8_corridor_kr_1,ogbench/ogbench/procgen/maze_jsons/M1/8x8_corridor_kr_1.json,8x8_corridor_kr_1,M1,26-39,M,False,8,8,64,corridor,1,8x8:corridor:1,key_door,,,True,28,129,K,1,1,0,DR,1,0,False,0,0,2,1,1,0,0,False,False
7,D1/8x8_corridor_wrong_ky_kr_sg_0,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_sg_0.json,8x8_corridor_wrong_ky_kr_sg_0,D1,26-39,D,False,8,8,64,corridor,0,8x8:corridor:0,wrong_key_then_key_door_then_switch_gate,,,True,28,244,K->S,2,1,1,DR;g1,3,1,False,0,1,5,2,1,1,1,False,False
8,D1/8x8_corridor_wrong_ky_kr_sg_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_sg_1.json,8x8_corridor_wrong_ky_kr_sg_1,D1,26-39,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_key_door_then_switch_gate,,,True,29,256,K->S,2,1,1,DR;g1,3,1,False,0,1,5,2,1,1,1,False,False
9,D1/8x8_corridor_wrong_ky_sg_kr_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_sg_kr_1.json,8x8_corridor_wrong_ky_sg_kr_1,D1,26-39,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_switch_gate_then_key_door,,,True,29,276,S->K,2,1,1,g1;DR,3,1,False,0,1,5,2,1,1,1,False,False
10,D1/8x8_corridor_wrong_ky_kr_kb_1,ogbench/ogbench/procgen/maze_jsons/D1/8x8_corridor_wrong_ky_kr_kb_1.json,8x8_corridor_wrong_ky_kr_kb_1,D1,26-39,D,False,8,8,64,corridor,1,8x8:corridor:1,wrong_key_then_kk,,,True,30,284,K->K,2,2,0,DR;DB,3,1,False,0,1,5,3,2,0,0,False,False
